"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_RIBOSOME_BIOGENESIS",2.38524889505079e-21,9.92740590120139e-18,1.19534448258848,0.612596406264966,2.2485539216928,329,"CDKN2A;VCX;FGF12;GLUL;RPL10L;NPM1;RPLP0P6;EXOSC4;RPS21;RPL38;RRS1;AATF;RPL7;RPS4X;FBL;BOP1;GTF2H5;TRMT112;NPM3;EXOSC5;RAN;RBM34;SNU13;RPS11;RPS24;BYSL;DCAF13;RBIS;REXO5;RPL26L1;EIF6;UTP14A;RPL27;NOL7;NSA2;RPL24;RPL35A;RPS13;RPS14;RPS23;BUD23;NHP2;FAU;RPL14;BRIX1;RPP40;RRP15;YBEY;SUV39H1;METTL18;ZNF622;NOP53;RPS7;RPS27;RPS16;RPL5;RPLP0;MYG1;LAS1L;RPS19;METTL5;PA2G4;NLE1;NOP10;EFL1;PES1;EXOSC9;RPS6;EXOSC1;NOA1;PIN4;UTP18;FBLL1;RPS9;ISG20;RRP7A;ABT1;TBL3;RPS25;RSL24D1;RPS8;RPSA;NSUN5;ZNF574;ZNHIT3;RPUSD2;RPS17;COPRS;RPS3A;POP4;SART1;PWP1;PRKDC;TCOF1;ABCF1;RRP9;TSR2;MRM2;PAK1IP1;PIH1D2;RPS5;RPS15;NOB1;EIF4A3;DDX27;EMG1;GRWD1;WDR46;MALSU1;TSR3;DDX54;ERCC2;FRG1;RPS12;PNO1;DDX28;RPL11;UTP11;EXOSC3;RPL7A;DNTTIP2;RPL35;ERI3;CUL4B;RRP36;ISG20L2;ZNF593;RPF2;SDE2;RPP30;FDXACB1;ERAL1;NOC4L;TMA16;RPS15A;NGRN;DDX10;GNL2;RPUSD3;UTP25;RPS27L;DROSHA;RPS27A;NOP16;RIOK2;GAR1;NOL11;NOL10;RPL26;MRM1;EXOSC7;TUFM;WBP11;HEATR1;XRCC5;CINP;TRMT61B;WDR12;DDX49;WDR3;RPL7L1;EIF2A;MTERF3;PRMT5;DKC1;RPP38;SRFBP1;NVL;PIH1D1;WDR43;GREB1L;POP7;GTPBP4;RPUSD1;XRN2;TFB2M;LYAR;DDX56;GTF3A;RPF1;NDUFAB1;WDR74;METTL15;ESF1;NIP7;UTP15;NGDN;DDX52;MPV17L2;AK6;RRP1B;SENP3;RRP1;PDCD2;C1QBP;RIOK1;EIF1AX;NSUN4;URB2;LSM6;DDX18;RPP25;PPAN;UTP4;REXO4;NOC2L;SDAD1;UTP23;NOP14;MCAT;UTP20;RBM10;DHX29;SBDS;GNL3L;IMP4;AFG2A;ZCCHC4;RPS28;FTSJ3;MPHOSPH10;YTHDF2;UTP6;NOLC1;IMP3;AFG2B;AIRIM;PELP1;RIOX2;DHX30;PDCD11;GTPBP10;NAT10;XPO1;SLX9;FCF1;BMS1;MRTO4"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",3.0097955577946e-19,6.26338455577057e-16,1.13308993200902,0.546420833298134,2.06367063055198,473,"TERT;UBD;CDC25C;SKA1;CDKN2A;TRIM71;NEK2;CDC20;DLGAP5;NUF2;UBE2C;SKA3;CENPF;MELK;CDK1;CDKN3;SPC25;DTL;NDC80;TTK;CCNB2;ANLN;E2F1;CCNB1;IQGAP3;BUB1;SPC24;CENPE;RRM2;BUB1B;ZWINT;BIRC5;CLSPN;AURKB;MAD2L1;CDCA8;E2F7;TRIP13;HASPIN;CDKN2B;PKMYT1;KIF14;CCNE1;RGCC;CDKN2C;UBE2S;TFDP3;AURKA;ORC1;CDC25A;GPNMB;CCNA2;KNL1;CHEK1;BLM;CDC6;DYNC1I1;FOXM1;NSMCE2;CKS2;PLK1;CCNF;DYNLRB1;AIF1;RRM1;NES;BCAT1;MTBP;CCNO;ANAPC11;PSMB3;DPF1;TMEM14B;PSMB4;CHMP2A;RAD51C;NPM2;STIL;ABRAXAS1;DYNLL1;TACC3;ENSA;CDK4;RPL24;SMARCE1;SPDL1;PSME1;PSMB5;RNASEH2B;TICRR;TM4SF5;NABP2;PRAP1;RAD21;RAB11A;CPSF3;CHMP4B;NOP53;CCNE2;LCMT1;ACTB;KHDRBS1;IK;PSMB2;BCL7C;PSMA6;CHEK2;BID;PSMB6;MAD2L1BP;INCENP;CALM3;PSME2;STOX1;BRD7;DYNC1H1;CDK7;RBL1;ZWILCH;ESPL1;KCNH5;UBE2A;PSMA7;CCNG1;ITGB1;RBX1;PSMG2;SKP1;SMARCA4;PRKDC;EZH2;BARD1;PLCB1;BTN2A2;CDC7;RHOU;E2F3;PSMA5;BABAM1;SMARCB1;MTA3;ERCC2;TCF3;MBLAC1;ECD;SYF2;TPR;FBXL7;MBTPS2;CDC23;RAD51B;PSMA2;HSPA2;PSME3;FBXO7;TAF10;MNAT1;CUL2;CUL4B;CHMP4C;SDE2;CDC73;PSMA4;RPTOR;CDC14C;RPA2;PSMB7;SMARCC1;DYNC1I2;DBF4;DYNLT1;PPM1D;DDB1;RPS27L;TRIAP1;DYNC1LI1;TP53;RRM2B;RIOK2;BUB3;BABAM2;KLHL22;CCNG2;PSMB1;MEPCE;TGFB1;ATAD5;PPME1;RCC2;NBN;MASTL;MAD1L1;CCNI;BRCC3;HEXIM2;CDK5RAP2;PIM2;BCL2;FOXO4;ANAPC15;TFAP4;RFWD3;MYC;AMBRA1;NAE1;ARPP19;CALM2;CTDSPL;GTPBP4;LSM10;PPP6C;SKP2;BCL7A;MYB;CCND3;LSM11;MAD2L2"
"GOBP_MITOTIC_NUCLEAR_DIVISION",3.5864133365662e-18,4.7532467403551e-15,1.0959292864312,0.597732610543572,2.17227437183308,299,"HOXA13;CDC25C;SKA1;KIF4A;NEK2;CDC20;DLGAP5;NUF2;CENPA;UBE2C;SKA3;CEP55;CENPF;MYBL2;KIFC1;CDK1;KIF18A;SPC25;NCAPG;CDCA2;NDC80;TTK;MKI67;NCAPH;ANLN;CCNB1;BUB1;UHRF1;SPC24;CENPE;CENPI;CDT1;KIF15;BUB1B;KIF2C;ZWINT;KIF18B;BIRC5;TPX2;KIF23;AURKB;MAD2L1;CDCA8;KIF11;PRC1;TRIP13;HASPIN;PKMYT1;FBXO43;KIF14;RGCC;UBE2S;RACGAP1;AURKA;CENPK;KNL1;MISP;CHEK1;DYNC1I1;PDGFB;NSMCE2;NUSAP1;PLK1;DYNLRB1;H3-3A;NCAPG2;RRS1;MTBP;ANAPC11;CHMP2A;MAPRE1;NPM2;SKA2;RAN;ABRAXAS1;DYNLL1;KIF20B;SMC2;RPL24;PPP2R1A;SPDL1;KNSTRN;MZT1;TUBG1;PRAP1;RAD21;BANF1;RAB11A;CHMP4B;NSL1;LCMT1;SPHK1;RHOA;IK;CHMP3;BROX;DRG1;CCDC86;CHEK2;BMP4;MAD2L1BP;INCENP;DYNC1H1;NCAPH2;ZWILCH;ESPL1;CD28;NSFL1C;CDC42;PSMG2;STAG2;H3-3B;HNRNPU;NME6;KIF22;EGF;NDE1;SMC3;DCTN2;BECN1;TPR;PPP1CC;CDC23;H3-5;IL1A;BCCIP;CHMP4C;PDGFRB;CDC14C;UBXN2B;CCSAP;DYNC1I2;DYNLT1;KATNB1;NFE2L1;DYNC1LI1;NCAPD2;BUB3;KLHL22;UBE2I;RMDN1;DAPK3;TGFB1;CCDC61;MAD1L1;PSRC1;BAZ1B;CHMP1B;DIS3L2;CHMP5;CDK5RAP2;H2BW1;PRMT5;KIF3B;MAP10;BOD1;ANAPC15;KIF2A"
"GOBP_CHROMOSOME_SEGREGATION",4.56823329202797e-18,4.7532467403551e-15,1.0959292864312,0.543916809866021,2.04610338008763,452,"SKA1;KIF4A;NEK2;MND1;CDC20;DLGAP5;NUF2;CENPA;TOP2A;CENPM;UBE2C;PTTG1;SKA3;CEP55;CENPF;DIAPH3;MYBL2;KIFC1;CDK1;ASPM;KIF18A;SPC25;NCAPG;CDCA2;NDC80;DMC1;TTK;MKI67;CCNB2;NCAPH;CCNB1;BUB1;UHRF1;SPC24;CENPE;CENPI;CDT1;KIF15;BUB1B;KIF2C;RMI2;ZWINT;KIF18B;BIRC5;TPX2;CENPW;KIF23;AURKB;TEX11;MAD2L1;CDCA8;SGO1;SGO2;KIF11;PRC1;TRIP13;HASPIN;HJURP;KIF14;CCNE1;RACGAP1;AURKA;CENPK;KNL1;MISP;CENPL;ESCO2;CENPU;CENPH;CDC6;DYNC1I1;NSMCE2;ECT2;SYCE3;NUSAP1;PLK1;FANCD2;MAEL;BRIP1;DYNLRB1;MTCL2;H3-3A;NUP37;CENPN;SAC3D1;NCAPG2;RRS1;P3H4;ITGB3BP;ANAPC11;DPF1;EHMT2;MIS18A;FIRRM;CHMP2A;MAPRE1;CENPP;CENPQ;SKA2;RAN;STIL;ABRAXAS1;DYNLL1;DSN1;DCAF13;TACC3;TUBB;SMC2;HAUS4;SMARCE1;PPP2R1A;SPDL1;KNSTRN;MZT1;TUBG1;PMF1;MAP1S;MCMDC2;PRAP1;WASHC5;RAD21;RAB11A;PRDM9;CHMP4B;NSL1;CCNE2;HAUS1;LCMT1;ACTB;RHOA;IK;CHMP3;BCL7C;DRG1;CCDC86;CHEK2;MAD2L1BP;INCENP;CENPO;M1AP;BRD7;DYNC1H1;NCAPH2;ZWILCH;ESPL1;TERF1;SLC25A5;CDC42;NDC1;RAD18;PSMG2;STAG2;H3-3B;ACTR2;HNRNPU;SMARCA4;ACTR3;BAG6;KIF22;NDE1;SMC3;CENPX;PSMC3IP;SMARCB1;DCTN2;BECN1;RPS3;ERCC2;TPR;PPP1CC;CDC23;H3-5"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",2.77485737684867e-17,2.30979128048883e-14,1.07686819261983,0.566350432249618,2.09742108009682,369,"TERT;UBD;CDC25C;SKA1;CDKN2A;CDC20;DLGAP5;NUF2;UBE2C;SKA3;CENPF;CDK1;SPC25;DTL;NDC80;TTK;ANLN;E2F1;CCNB1;BUB1;SPC24;CENPE;RRM2;BUB1B;ZWINT;BIRC5;CLSPN;AURKB;MAD2L1;CDCA8;E2F7;TRIP13;HASPIN;CDKN2B;PKMYT1;KIF14;CCNE1;RGCC;CDKN2C;TFDP3;AURKA;ORC1;CDC25A;GPNMB;KNL1;CHEK1;BLM;CDC6;DYNC1I1;NSMCE2;PLK1;DYNLRB1;AIF1;RRM1;MTBP;ANAPC11;PSMB3;DPF1;TMEM14B;PSMB4;RAD51C;NPM2;STIL;ABRAXAS1;DYNLL1;CDK4;SMARCE1;SPDL1;PSME1;PSMB5;RNASEH2B;TICRR;TM4SF5;NABP2;PRAP1;RAD21;RAB11A;CPSF3;NOP53;CCNE2;LCMT1;ACTB;IK;PSMB2;BCL7C;PSMA6;BID;PSMB6;MAD2L1BP;INCENP;PSME2;STOX1;BRD7;DYNC1H1;CDK7;RBL1;ZWILCH;ESPL1;KCNH5;PSMA7;PSMG2;SMARCA4;PRKDC;EZH2;BARD1;PLCB1;BTN2A2;CDC7;PSMA5;BABAM1;SMARCB1;MTA3;ERCC2;TCF3;MBLAC1;ECD;SYF2;TPR;MBTPS2;CDC23;RAD51B;PSMA2;HSPA2;PSME3;FBXO7;MNAT1;CUL4B;CHMP4C;SDE2;CDC73;PSMA4;RPTOR;CDC14C;RPA2;PSMB7;SMARCC1;DYNC1I2;DBF4;DYNLT1;DDB1;RPS27L;TRIAP1;DYNC1LI1;TP53;RRM2B;RIOK2;BUB3;BABAM2;KLHL22;PSMB1;MEPCE;TGFB1;ATAD5;RCC2;NBN;MAD1L1"
"GOBP_SISTER_CHROMATID_SEGREGATION",8.2830291741646e-17,5.74566123714551e-14,1.05746357275086,0.620037496864788,2.21451914069537,252,"SKA1;KIF4A;NEK2;CDC20;DLGAP5;NUF2;CENPA;TOP2A;UBE2C;SKA3;CEP55;CENPF;MYBL2;KIFC1;CDK1;KIF18A;SPC25;NCAPG;NDC80;TTK;NCAPH;CCNB1;BUB1;UHRF1;SPC24;CENPE;CENPI;CDT1;KIF15;BUB1B;KIF2C;RMI2;ZWINT;KIF18B;BIRC5;TPX2;KIF23;AURKB;MAD2L1;CDCA8;KIF11;PRC1;TRIP13;HASPIN;KIF14;RACGAP1;CENPK;KNL1;MISP;CDC6;DYNC1I1;NSMCE2;NUSAP1;PLK1;DYNLRB1;H3-3A;NCAPG2;RRS1;ANAPC11;DPF1;CHMP2A;MAPRE1;SKA2;RAN;ABRAXAS1;DYNLL1;TACC3;SMC2;SMARCE1;PPP2R1A;SPDL1;KNSTRN;MZT1;TUBG1;PRAP1;RAD21;RAB11A;CHMP4B;NSL1;LCMT1;ACTB;RHOA;IK;CHMP3;BCL7C;DRG1;CHEK2;MAD2L1BP;INCENP;BRD7;DYNC1H1;NCAPH2;ZWILCH;ESPL1;PSMG2;STAG2;H3-3B;HNRNPU;SMARCA4;KIF22;SMC3;SMARCB1;DCTN2;BECN1;TPR;PPP1CC;CDC23;H3-5;BCCIP;CHMP4C;CCSAP;SMARCC1;DYNC1I2;DYNLT1;KATNB1;DYNC1LI1;NCAPD2;RIOK2;BUB3;KLHL22;RMDN1;CCDC61;MAD1L1;PSRC1;BAZ1B;CHMP1B;DIS3L2;CHMP5;CDK5RAP2;H2BW1;KIF3B;MAP10;BOD1;ANAPC15;KIF2A"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",1.42351022806257e-16,8.46378509885204e-14,1.04762648849882,0.567480544395287,2.08786512553913,344,"SKA1;KIF4A;NEK2;MND1;CDC20;DLGAP5;NUF2;CENPA;TOP2A;UBE2C;PTTG1;SKA3;CEP55;CENPF;MYBL2;KIFC1;CDK1;ASPM;KIF18A;SPC25;NCAPG;NDC80;DMC1;TTK;CCNB2;NCAPH;CCNB1;BUB1;UHRF1;SPC24;CENPE;CENPI;CDT1;KIF15;BUB1B;KIF2C;RMI2;ZWINT;KIF18B;BIRC5;TPX2;KIF23;AURKB;TEX11;MAD2L1;CDCA8;SGO1;SGO2;KIF11;PRC1;TRIP13;HASPIN;KIF14;CCNE1;RACGAP1;AURKA;CENPK;KNL1;MISP;CDC6;DYNC1I1;NSMCE2;ECT2;SYCE3;NUSAP1;PLK1;FANCD2;MAEL;BRIP1;DYNLRB1;H3-3A;NCAPG2;RRS1;P3H4;ANAPC11;DPF1;EHMT2;CHMP2A;MAPRE1;CENPQ;SKA2;RAN;ABRAXAS1;DYNLL1;DSN1;DCAF13;TACC3;SMC2;SMARCE1;PPP2R1A;SPDL1;KNSTRN;MZT1;TUBG1;PMF1;MAP1S;MCMDC2;PRAP1;WASHC5;RAD21;RAB11A;PRDM9;CHMP4B;NSL1;CCNE2;LCMT1;ACTB;RHOA;IK;CHMP3;BCL7C;DRG1;CHEK2;MAD2L1BP;INCENP;M1AP;BRD7;DYNC1H1;NCAPH2;ZWILCH;ESPL1;TERF1;CDC42;NDC1;PSMG2;STAG2;H3-3B;ACTR2;HNRNPU;SMARCA4;ACTR3;BAG6"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",3.18813030274211e-16,1.65862479000158e-13,1.03769615548758,0.646059281048217,2.26758275399636,211,"SKA1;KIF4A;NEK2;CDC20;DLGAP5;NUF2;CENPA;UBE2C;SKA3;CEP55;CENPF;MYBL2;KIFC1;CDK1;KIF18A;SPC25;NCAPG;NDC80;TTK;NCAPH;CCNB1;BUB1;UHRF1;SPC24;CENPE;CENPI;CDT1;KIF15;BUB1B;KIF2C;ZWINT;KIF18B;BIRC5;TPX2;KIF23;AURKB;MAD2L1;CDCA8;KIF11;PRC1;TRIP13;HASPIN;KIF14;RACGAP1;CENPK;KNL1;MISP;DYNC1I1;NSMCE2;NUSAP1;PLK1;DYNLRB1;H3-3A;NCAPG2;RRS1;ANAPC11;CHMP2A;MAPRE1;SKA2;RAN;ABRAXAS1;DYNLL1;SMC2;PPP2R1A;SPDL1;KNSTRN;MZT1;TUBG1;PRAP1;RAD21;RAB11A;CHMP4B;NSL1;LCMT1;RHOA;IK;CHMP3;DRG1;CHEK2;MAD2L1BP;INCENP;DYNC1H1;NCAPH2;ZWILCH;ESPL1;PSMG2;STAG2;H3-3B;HNRNPU;KIF22;SMC3;DCTN2;BECN1;TPR;PPP1CC;CDC23;H3-5;BCCIP;CHMP4C;CCSAP;DYNC1I2;DYNLT1;KATNB1;DYNC1LI1;NCAPD2;BUB3;KLHL22;RMDN1;CCDC61;MAD1L1;PSRC1;BAZ1B;CHMP1B;DIS3L2;CHMP5;CDK5RAP2;H2BW1;KIF3B;MAP10;BOD1;ANAPC15;KIF2A"
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",4.04314973377873e-15,1.86973213244301e-12,0.996986217533181,0.507328866578338,1.91919126801981,483,"TERT;UBD;CDC25C;SKA1;CDKN2A;CDC20;DLGAP5;NUF2;UBE2C;SKA3;CENPF;CDK1;SPC25;DTL;NDC80;TTK;ANLN;E2F1;CCNB1;BUB1;SPC24;CENPE;CDT1;RRM2;BUB1B;ZWINT;BIRC5;CLSPN;CDC45;AURKB;MAD2L1;CDCA8;E2F7;TRIP13;HASPIN;CDKN2B;PKMYT1;WDR76;RAD51;KIF14;CCNE1;RGCC;CDKN2C;TFDP3;AURKA;ORC1;CDC25A;GPNMB;KNL1;CHEK1;BLM;CDC6;DYNC1I1;RHNO1;NSMCE2;PLK1;FANCD2;NPM1;BRIP1;MSH2;EME1;DYNLRB1;AIF1;RRM1;MTBP;CDK5;ANAPC11;PSMB3;GNB1L;DPF1;TMEM14B;RFC4;PSMB4;RAD51C;NPM2;RFC3;STIL;ABRAXAS1;DYNLL1;CDK4;H2AX;SMARCE1;SPDL1;PSME1;PSMB5;RNASEH2B;TICRR;TM4SF5;NABP2;PRAP1;RAD21;RAB11A;CPSF3;NOP53;CCNE2;TMSB4X;ZNF16;LCMT1;ACTB;MACROH2A1;DDRGK1;IK;PSMB2;BCL7C;PSMA6;CHEK2;BID;PSMB6;MAD2L1BP;INCENP;TIPRL;PSME2;STOX1;INTS7;BRD7;DYNC1H1;CDK7;PRPF19;RBL1;ZWILCH;CDC5L;ESPL1;KCNH5;PSMA7;RBX1;PSMG2;SKP1;SMARCA4;PRKDC;EZH2;BARD1;PLCB1;BTN2A2;ATRIP;RFC2;CDC7;PSMA5;BABAM1;SMARCB1;MTA3;FBXO6;ERCC2;TCF3;MBLAC1;CCNQ;ECD;SYF2;PAGR1;TPR;TIPIN;MBTPS2;CDC23;RAD51B;PSMA2;HSPA2;PSME3;FBXO7;MNAT1;CUL4B;CHMP4C;SDE2;BRCA2;CDC73;PSMA4;RPTOR;CDC14C;RPA2;PSMB7;LYN;SMARCC1;DYNC1I2;DBF4;DYNLT1;DDB1;APBB1;RPS27L;TRIAP1;DYNC1LI1;TP53;RRM2B;RIOK2;BUB3;BABAM2;KLHL22;PSMB1;MEPCE;TGFB1;RFC5;ATAD5;RCC2;NBN;MAD1L1;EIF2AK4;PAF1;STXBP4;BRCC3;HEXIM2;DTX3L;CDK5RAP2;MLF1;BCL2;FOXO4;ANAPC15;RAD9B;TFAP4;RFWD3;AMBRA1"
"GOBP_RRNA_PROCESSING",9.57351863900987e-15,3.98449845755591e-12,0.986546283587582,0.607969462524171,2.15484707354808,233,"CDKN2A;EXOSC4;RPS21;RRS1;AATF;RPL7;FBL;BOP1;GTF2H5;TRMT112;NPM3;EXOSC5;RBM34;SNU13;RPS24;BYSL;DCAF13;REXO5;EIF6;UTP14A;RPL27;NOL7;NSA2;RPL35A;RPS14;BUD23;NHP2;RPL14;BRIX1;RPP40;RRP15;YBEY;SUV39H1;METTL18;NOP53;RPS7;RPS27;RPS16;RPL5;MYG1;LAS1L;RPS19;METTL5;PA2G4;NOP10;PES1;EXOSC9;RPS6;EXOSC1;PIN4;UTP18;FBLL1;ISG20;RRP7A;ABT1;TBL3;RPS25;RPS8;NSUN5;ZNHIT3;RPUSD2;RPS17;COPRS;POP4;SART1;PWP1;PRKDC;RRP9;TSR2;MRM2;PAK1IP1;PIH1D2;RPS15;NOB1;EIF4A3;DDX27;EMG1;WDR46;TSR3;DDX54;ERCC2;FRG1;PNO1;RPL11;UTP11;EXOSC3;RPL7A;DNTTIP2;RPL35;ERI3;RRP36;RPF2;SDE2;RPP30;FDXACB1;NOC4L;DDX10;RPUSD3;UTP25;DROSHA;RIOK2;GAR1;NOL11;NOL10;RPL26;MRM1;EXOSC7;WBP11;HEATR1;TRMT61B;WDR12;DDX49;WDR3;RPL7L1;PRMT5;DKC1;RPP38;SRFBP1;NVL;PIH1D1;WDR43;POP7;GTPBP4;RPUSD1;XRN2;TFB2M;LYAR;DDX56;RPF1;WDR74;METTL15;ESF1;UTP15;NGDN;DDX52;AK6;RRP1B;SENP3;RRP1;RIOK1;NSUN4;LSM6;DDX18;RPP25;PPAN;UTP4;REXO4;UTP23;NOP14;UTP20;SBDS;IMP4;ZCCHC4;RPS28;FTSJ3;MPHOSPH10;YTHDF2;UTP6;NOLC1;IMP3;PELP1;PDCD11;NAT10;SLX9;FCF1;BMS1;MRTO4"
"GOBP_CYTOPLASMIC_TRANSLATION",5.67857375234378e-14,2.14856581429589e-11,0.965327754226083,0.642690557597513,2.20556588223599,175,"IGF2BP1;RBM24;RPL8;PABPC1;RPL10L;RPL30;RPL36A;RPLP0P6;RPS21;RPL37;RPLP2;RPL38;EIF3E;PKM;EIF3H;RPL7;RPL39;RPL32;RPL39L;RPS4X;EIF3K;RPS18;RPS20;RPL27A;RPLP1;EIF3M;RPS11;RPS24;RPL36;RPL26L1;RPL19;RPL27;RPL24;RPL35A;RPS13;RPS14;EPRS1;EIF3D;RPS23;RPL23;EEF1D;FAU;RPL14;UBA52;RPL31;RPL29;RPL23A;RPL12;RPS7;RPS10;RPS27;EIF2D;RPL6;EIF3CL;RACK1;RPS16;MIF4GD;DRG1;RPL5;RPLP0;RPL28;RPS19;RPL37A;EIF3I;RPL9;RPL4;EIF3L;YBX1;RPS6;RPL15;RPL22L1;RPS9;MCTS1;EIF3C;PAIP1;RPL22;RPL10;RPS25;RPS8;DHX9;RPSA;RPL18A;EEF2;RPS17;RPS3A;HNRNPU;RPS2;RPL18;GAPDH;RPL10A;RPS5;RPS15;EIF3G;RWDD1;RPS3;RPS29;RPL13A;RPL34;EIF2S2;RPL36AL;RPL3;SLBP;RPS12;RPL11;EIF3A;EIF2B2;RPL7A;RPL35;RPL17;RPS15A;EIF2S3;RPS27A;RPL26;CSDE1;EIF3F;SYNCRIP;DENR"
"GOBP_RRNA_METABOLIC_PROCESS",7.56292379804395e-14,2.62307407062158e-11,0.954541630725724,0.568609671430381,2.05787532575501,286,"CDKN2A;MAPT;EXOSC4;RPS21;POLR2K;RRS1;AATF;RPL7;FBL;BOP1;GTF2H5;TRMT112;NPM3;EXOSC5;POLR1H;RBM34;SNU13;RPS24;BYSL;DCAF13;REXO5;EIF6;UTP14A;RPL27;NOL7;NSA2;RPL35A;RPS14;BUD23;NHP2;RPL14;BRIX1;RPP40;RRP15;YBEY;SUV39H1;METTL18;NOP53;RPS7;RPS27;MACROH2A1;POLR2L;RPS16;CAVIN1;RPL5;MYG1;LAS1L;MACROH2A2;RPS19;METTL5;PA2G4;NOP10;POLR2F;PES1;EXOSC9;RPS6;EXOSC1;PIN4;UTP18;FBLL1;GTF3C6;ISG20;RRP7A;ABT1;TBL3;RPS25;NIFK;RPS8;NSUN5;ZNHIT3;RPUSD2;RPS17;COPRS;POP4;SART1;PWP1;SMARCA4;PRKDC;TCOF1;RRP9;TSR2;MRM2;PAK1IP1;PIH1D2;RPS15;POLR1G;NOB1;EIF4A3;DDX27;EMG1;WDR46;SMARCB1;TSR3;DDX54;ERCC2;FRG1;PNO1;DEDD;RPL11;UTP11;EXOSC3;TAF1B;RPL7A;DNTTIP2;RPL35;ERI3;RRP36;RPF2;SDE2;RPP30;FDXACB1;NCL;NOC4L;DDX10;RPUSD3;UTP25;DROSHA;RIOK2;GAR1;NOL11;NOL10;RPL26;MRM1;EXOSC7;WBP11;SLFN5;HEATR1;TRMT61B;WDR12;DDX49;WDR3;POLR1F;RPL7L1;PRMT5;DKC1;RPP38;SRFBP1;NVL;MYC;PIH1D1;WDR43;POP7;GTPBP4;RPUSD1;POLR2E;XRN2;TFB2M;LYAR;DDX56;GTF3A;RPF1;WDR74;METTL15;ESF1;UTP15;NGDN;DDX52;AK6;RRP1B;SENP3;RRP1;RIOK1;NSUN4;LSM6;DDX18;RPP25;PPAN;POLR1B;UTP4;REXO4;UTP23;POLR1A;POLR1C;NOP14;DEDD2;UTP20;SPIN1;SBDS;IMP4;ZCCHC4;RPS28;FTSJ3;MPHOSPH10;POLR1D;YTHDF2;UTP6;NOLC1;IMP3;PELP1;PDCD11;TOP1;NAT10;GTF3C4;SLX9;FCF1;BMS1;MRTO4"
"GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION",1.91157454239979e-12,6.11997941959071e-10,0.898671232061694,0.566294381529951,2.02308723815033,253,"SKA1;NEK2;CDC20;DLGAP5;NUF2;UBE2C;SKA3;CENPF;CDK1;SPC25;NCAPG;NDC80;TTK;NCAPH;CCNB1;BUB1;SPC24;CENPE;BUB1B;RMI2;ZWINT;BIRC5;AURKB;MAD2L1;CDCA8;TRIP13;HASPIN;MAPT;KNL1;LMNA;CDC6;DYNC1I1;FEN1;NSMCE2;PLK1;CCT3;DYNLRB1;NCAPG2;XRCC1;ANAPC11;CCT7;TFPT;DPF1;DYNLL1;TACC3;SMC2;PKIB;SMARCE1;RUVBL2;MAPK3;SPDL1;NSMCE1;CCT5;HNRNPA1;NABP2;PRAP1;RAD21;PIF1;LCMT1;ACTB;MACROH2A1;IK;BCL7C;CCT4;MAD2L1BP;INCENP;RUVBL1;BRD7;DYNC1H1;NCAPH2;UCHL5;ZWILCH;ESPL1;TERF1;PARP1;PSMG2;HNRNPU;CCT6A;SMARCA4;PTGES3;ERCC1;SRC;INO80C;SMARCB1;BECN1;HNRNPC;CTNNB1;TPR;CCT2;CDC23;CCT8;NAA10;STN1;SMARCC1;DYNC1I2;DYNLT1;DYNC1LI1;TP53;NCAPD2;RIOK2;BUB3;KLHL22;WRAP53;NBN;XRCC5;MAD1L1;BAZ1B;CDK5RAP2;HDAC8;DKC1;ANAPC15;MAPK1;NSMCE3;NVL;NEK7;MYC;ACTR8;BCL7A;PARN;TINF2;MAD2L2;SMARCD2;DCP2;HNRNPA2B1;RAD50;ACD;CTCF;FBXO4;DYNLL2;TCP1;MCRS1;HSP90AA1;ZW10;DPF2;KAT5;TERF2"
"GOBP_KERATINIZATION",3.05865304551629e-12,9.09293855388484e-10,0.898671232061694,-0.76276053052602,-2.30990652121578,84,"SPRR3;KRT4;KRT1;SPRR1B;KRT2;SPRR2E;KRT6A;SPRR1A;LORICRIN;KRT78;SPRR2D;KRT5;LCE2B;IVL;CASP14;KRT72;KRT16;KRT77;CDSN;FLG;KRT6B;KLK5;KRT73;LCE2C;SPRR2G;KRT6C;HRNR;KAZN;LCE1C;SPRR2F;LCE2D;CERS3;KRT71;LCE1B;LCE1A;TGM1;LIPN"
